zams_mass_1,zams_mass_2,zams_separation_rsun,metallicity,delay_time_myr,mass_1,mass_2,stellar_type_1,stellar_type_2
34.306,16.0474,296.6937234337328,0.0003585464728475101,39.8182,10.4484,10.7271,14,14
25.4374,9.17353,794.3616642559556,0.00012589254117941674,1045.976,6.53462,2.54614,14,14
68.9386,30.3332,464.4837006748244,0.0010211532151708522,426.66963,22.5375,8.56852,14,14
29.5407,24.9655,2009.7905349709547,0.0010211532151708522,4342.5539,13.7359,7.97791,14,14
34.306,20.2076,14816.230591623971,0.0029082809839751293,741.7284,13.0624,2.25975,14,14
37.9026,24.876,694.4213559942016,0.00012589254117941674,20.39766,14.2184,8.93114,14,14
24.2005,21.4322,1087.5162041870078,0.00021245782310305673,88.5222,9.66387,6.99502,14,14
36.0595,35.8165,2203.9249161971275,0.0006050875007272942,668.45718,10.9446,10.3164,14,14
28.1042,12.7776,142.21755104298376,0.00021245782310305673,67.1265,6.54034,7.49191,14,14
39.8399,14.8682,1611.715469248289,0.0029082809839751293,1046.4017,6.9442,4.75165,14,14
26.7376,25.4777,2473.6092448591903,0.0003585464728475101,674.07528,15.0586,5.38214,14,14
28.1042,14.2913,760.6571033655913,0.00021245782310305673,631.4019,9.25454,7.95451,14,14
46.2665,27.2384,241.25489161605802,0.0017233109056135083,356.0318,10.9926,10.7064,14,14
29.5407,18.9978,168.26878311541213,0.0003585464728475101,33.2569,7.29038,11.4246,14,14
31.0507,14.5297,147.46962306515601,0.0006050875007272942,72.8379,6.9742,8.07149,14,14
37.9026,16.1916,139.73158874499154,0.0029082809839751293,1202.8862,5.21241,2.24738,14,14
21.9041,18.5156,670.0114155855705,0.00012589254117941674,328.5713,6.56815,6.42228,14,14
23.0236,20.3905,282.38547838069877,0.0003585464728475101,111.3172,5.04096,10.1572,14,14
31.0507,11.1837,349.34185556295137,0.0006050875007272942,450.3445,7.3701,4.57098,14,14
29.5407,22.9763,4316.7385712645455,0.0006050875007272942,18.23787,21.6875,4.15269,14,14
29.5407,15.815,623.1077473510533,0.0010211532151708522,108.3,6.35955,7.27204,14,14
29.5407,19.3956,235.38523259247913,0.0003585464728475101,138.4518,7.53588,12.0874,14,14
28.1042,26.0228,1794.4887758842733,0.00012589254117941674,225.41713,15.6762,5.49028,14,14
36.0595,13.9493,330.7597073907129,0.0006050875007272942,81.9367,10.2798,9.14108,14,14
153.057,25.9374,166.7741514874349,0.0010211532151708522,6459.17344,52.3691,5.93828,14,14
32.6378,17.4681,576.4806103002555,0.0010211532151708522,43.489,7.63077,8.44081,14,14
32.6378,20.9857,44702.89831480477,0.00021245782310305673,283.0876,12.6398,3.09614,14,14
24.2005,9.05625,561.8828737387182,0.0017233109056135083,39.1062,3.62533,2.40281,14,14
107.971,24.1523,150.7215653371945,0.008282888557850927,36.32381,7.97112,3.04826,14,14
65.5862,30.6307,1558.2101116131016,0.0017233109056135083,5824.80968,19.1623,14.9769,14,14
34.306,34.0749,1113.7576277809515,0.0010211532151708522,48.70188,8.40113,7.90735,14,14
37.9026,34.0712,1414.491609805138,0.0003585464728475101,533.44657,12.5318,11.3097,14,14
53.7298,36.6987,165.8362512284377,0.0029082809839751293,9752.64617,12.433,14.6543,14,14
48.6313,29.9402,934.3380157498718,0.004908051271653857,5731.25163,6.81151,3.54532,14,14
39.8399,39.5714,1308.0904750606603,0.0017233109056135083,106.1907,9.23375,8.74266,14,14
46.2665,27.2384,1591.642625835982,0.0029082809839751293,758.35511,8.56608,3.81084,14,14
37.9026,37.1363,920.1200430890061,0.0003585464728475101,32.4249,12.6483,11.99,14,14
37.9026,17.7242,8563.908885551526,0.0003585464728475101,177.0456,12.5376,2.2102,14,14
29.5407,11.4387,2549.475914473382,0.0029082809839751293,2375.6504,9.0809,2.42533,14,14
31.0507,26.2408,3185.3532944264466,0.0017233109056135083,25.10241,18.24,3.47132,14,14
